Feat0_Cat0.y,Feat1_Cat1.y,Feat2_Cat2.y,Feat3_Cat3.y,Feat4_Cat4.y,Feat5_Cat5.y,Feat6_Cat6.y,Feat7_Cat7.y,Feat8_Cat8.y,Feat9_Cat9.y,Feat10_Cat10.y,Feat11_Cat11.y,Feat12_Cat12.y,Feat13_Cat13.y,Feat14_Cat14.y,Feat15_Cat15.y,target
0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0
1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1
1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1
0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1
1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1
1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0
0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0
0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0
0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0
1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0
1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0
1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0
1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0
1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1
0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
