Feat0_Cat0.1,Feat1_Num1.buck0,Feat1_Num1.buck1,Feat1_Num1.buck2,Feat1_Num1.buck3,Feat2_Num1.buck0,Feat2_Num1.buck1,Feat2_Num1.buck2,Feat2_Num1.buck3,Feat2_Num1.buck4,Feat3_Num1.buck0,Feat3_Num1.buck1,Feat3_Num1.buck2,Feat3_Num1.buck3,Feat4_Num1.buck0,Feat4_Num1.buck1,Feat4_Num1.buck2,Feat4_Num1.buck3,Feat4_Num1.buck4,Feat5_Num1.buck0,Feat5_Num1.buck1,Feat5_Num1.buck2,Feat5_Num1.buck3,Feat6_Num1.buck0,Feat6_Num1.buck1,Feat6_Num1.buck2,Feat6_Num1.buck3,Feat6_Num1.buck4,Feat7_Num1.buck0,Feat7_Num1.buck1,Feat7_Num1.buck2,Feat7_Num1.buck3,Feat7_Num1.buck4,Feat8_Num1.buck0,Feat8_Num1.buck1,Feat8_Num1.buck2,Feat8_Num1.buck3,Feat8_Num1.buck4,Feat9_Num1.buck0,Feat9_Num1.buck1,Feat9_Num1.buck2,Feat9_Num1.buck3,Feat9_Num1.buck4,Feat10_Num1.buck0,Feat10_Num1.buck1,Feat10_Num1.buck2,Feat10_Num1.buck3,Feat10_Num1.buck4,Feat11_Num1.buck0,Feat11_Num1.buck1,Feat11_Num1.buck2,Feat11_Num1.buck3,Feat11_Num1.buck4,Feat12_Num1.buck0,Feat12_Num1.buck1,Feat12_Num1.buck2,Feat12_Num1.buck3,Feat12_Num1.buck4,Feat13_Num1.buck0,Feat13_Num1.buck1,Feat13_Num1.buck2,Feat13_Num1.buck3,Feat13_Num1.buck4,Feat14_Num1.buck0,Feat14_Num1.buck1,Feat14_Num1.buck2,Feat14_Num1.buck3,Feat14_Num1.buck4,Feat15_Num1.buck0,Feat15_Num1.buck1,Feat15_Num1.buck2,Feat15_Num1.buck3,Feat15_Num1.buck4,Feat16_Num1.buck0,Feat16_Num1.buck1,Feat16_Num1.buck2,Feat16_Num1.buck3,Feat16_Num1.buck4,Feat17_Num1.buck0,Feat17_Num1.buck1,Feat17_Num1.buck2,Feat17_Num1.buck3,Feat17_Num1.buck4,Feat18_Num1.buck0,Feat18_Num1.buck1,Feat18_Num1.buck2,Feat18_Num1.buck3,Feat18_Num1.buck4,Feat19_Num1.buck0,Feat19_Num1.buck1,Feat19_Num1.buck2,Feat19_Num1.buck3,Feat19_Num1.buck4,Feat20_Num1.buck0,Feat20_Num1.buck1,Feat20_Num1.buck2,Feat20_Num1.buck3,Feat20_Num1.buck4,Feat21_Num1.buck0,Feat21_Num1.buck1,Feat21_Num1.buck2,Feat21_Num1.buck3,Feat21_Num1.buck4,Feat22_Num1.buck0,Feat22_Num1.buck1,Feat22_Num1.buck2,Feat22_Num1.buck3,Feat22_Num1.buck4,Feat23_Num1.buck0,Feat23_Num1.buck1,Feat23_Num1.buck2,Feat23_Num1.buck3,Feat23_Num1.buck4,Feat24_Num1.buck0,Feat24_Num1.buck1,Feat24_Num1.buck2,Feat24_Num1.buck3,Feat24_Num1.buck4,Feat25_Num1.buck0,Feat25_Num1.buck1,Feat25_Num1.buck2,Feat25_Num1.buck3,Feat26_Num1.buck0,Feat26_Num1.buck1,Feat26_Num1.buck2,Feat26_Num1.buck3,Feat26_Num1.buck4,Feat27_Num1.buck0,Feat27_Num1.buck1,Feat27_Num1.buck2,Feat27_Num1.buck3,Feat27_Num1.buck4,Feat28_Num1.buck0,Feat28_Num1.buck1,Feat28_Num1.buck2,Feat28_Num1.buck3,Feat28_Num1.buck4,Feat29_Num1.buck0,Feat29_Num1.buck1,Feat29_Num1.buck2,Feat29_Num1.buck3,Feat29_Num1.buck4,Feat30_Num1.buck0,Feat30_Num1.buck1,Feat30_Num1.buck2,Feat30_Num1.buck3,Feat30_Num1.buck4,Feat31_Num1.buck0,Feat31_Num1.buck1,Feat31_Num1.buck2,Feat31_Num1.buck3,Feat31_Num1.buck4,Feat32_Num1.buck0,Feat32_Num1.buck1,Feat32_Num1.buck2,Feat32_Num1.buck3,Feat32_Num1.buck4,target
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
