Feat0_Num0.buck0,Feat0_Num0.buck1,Feat0_Num0.buck2,Feat0_Num0.buck3,Feat0_Num0.buck4,Feat1_Num0.buck0,Feat1_Num0.buck1,Feat1_Num0.buck2,Feat1_Num0.buck3,Feat1_Num0.buck4,Feat2_Num0.buck0,Feat2_Num0.buck1,Feat2_Num0.buck2,Feat2_Num0.buck3,Feat2_Num0.buck4,Feat3_Num0.buck0,Feat3_Num0.buck1,Feat3_Num0.buck2,Feat3_Num0.buck3,Feat3_Num0.buck4,Feat4_Num0.buck0,Feat4_Num0.buck1,Feat4_Num0.buck2,Feat4_Num0.buck3,Feat4_Num0.buck4,Feat5_Num0.buck0,Feat5_Num0.buck1,Feat5_Num0.buck2,Feat5_Num0.buck3,Feat5_Num0.buck4,Feat6_Num0.buck0,Feat6_Num0.buck1,Feat6_Num0.buck2,Feat6_Num0.buck3,Feat6_Num0.buck4,Feat7_Num0.buck0,Feat7_Num0.buck1,Feat7_Num0.buck2,Feat7_Num0.buck3,Feat7_Num0.buck4,Feat8_Num0.buck0,Feat8_Num0.buck1,Feat8_Num0.buck2,Feat8_Num0.buck3,Feat8_Num0.buck4,Feat9_Num0.buck0,Feat9_Num0.buck1,Feat9_Num0.buck2,Feat9_Num0.buck3,Feat9_Num0.buck4,Feat10_Num0.buck0,Feat10_Num0.buck1,Feat10_Num0.buck2,Feat10_Num0.buck3,Feat10_Num0.buck4,Feat11_Num0.buck0,Feat11_Num0.buck1,Feat11_Num0.buck2,Feat11_Num0.buck3,Feat11_Num0.buck4,target
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
