Feat0_Cat0.b,Feat1_Cat1.a,Feat1_Cat1.b,Feat1_Cat1.c,Feat2_Cat2.W,Feat3_Num3.buck0,Feat3_Num3.buck1,Feat3_Num3.buck2,Feat3_Num3.buck3,Feat3_Num3.buck4,Feat4_Num3.buck0,Feat4_Num3.buck1,Feat4_Num3.buck2,Feat4_Num3.buck3,Feat4_Num3.buck4,Feat5_Num3.buck0,Feat5_Num3.buck1,Feat5_Num3.buck2,Feat5_Num3.buck3,Feat5_Num3.buck4,Feat6_Num3.buck0,Feat6_Num3.buck1,Feat6_Num3.buck2,Feat6_Num3.buck3,Feat6_Num3.buck4,Feat7_Cat3.a,Feat7_Cat3.b,Feat7_Cat3.c,Feat8_Num4.buck0,Feat8_Num4.buck1,Feat8_Num4.buck2,Feat9_Num4.buck0,Feat9_Num4.buck1,Feat10_Num4.buck0,Feat10_Num4.buck1,Feat11_Num4.buck0,Feat12_Cat4.1,Feat16_Num5.buck0,Feat16_Num5.buck1,Feat16_Num5.buck2,Feat17_Num5.buck0,Feat17_Num5.buck1,Feat17_Num5.buck2,target
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
