Feat0_Num0.buck0,Feat0_Num0.buck1,Feat1_Num0.buck0,Feat2_Num0.buck0,Feat2_Num0.buck1,Feat2_Num0.buck2,Feat3_Num0.buck0,Feat4_Num0.buck0,Feat4_Num0.buck1,Feat5_Num0.buck0,Feat5_Num0.buck1,Feat6_Num0.buck0,Feat7_Num0.buck0,Feat8_Num0.buck0,Feat9_Num0.buck0,Feat9_Num0.buck1,Feat10_Num0.buck0,Feat11_Num0.buck0,Feat11_Num0.buck1,Feat11_Num0.buck2,Feat12_Num0.buck0,Feat13_Num0.buck0,Feat14_Num0.buck0,Feat15_Num0.buck0,Feat15_Num0.buck1,Feat16_Num0.buck0,Feat16_Num0.buck1,Feat17_Num0.buck0,Feat17_Num0.buck1,Feat18_Num0.buck0,Feat18_Num0.buck1,Feat18_Num0.buck2,Feat18_Num0.buck3,Feat19_Num0.buck0,Feat20_Num0.buck0,Feat20_Num0.buck1,Feat20_Num0.buck2,Feat21_Num0.buck0,Feat22_Num0.buck0,Feat23_Num0.buck0,Feat24_Num0.buck0,Feat24_Num0.buck1,Feat25_Num0.buck0,Feat26_Num0.buck0,Feat27_Num0.buck0,Feat28_Num0.buck0,Feat29_Num0.buck0,Feat30_Num0.buck0,Feat31_Num0.buck0,Feat32_Num0.buck0,Feat33_Num0.buck0,Feat34_Num0.buck0,Feat35_Num0.buck0,Feat36_Num0.buck0,Feat37_Num0.buck0,Feat38_Num0.buck0,Feat39_Num0.buck0,Feat40_Num0.buck0,Feat41_Num0.buck0,Feat42_Num0.buck0,Feat43_Num0.buck0,Feat44_Num0.buck0,Feat44_Num0.buck1,Feat45_Num0.buck0,Feat46_Num0.buck0,Feat47_Num0.buck0,Feat48_Num0.buck0,Feat49_Num0.buck0,Feat49_Num0.buck1,Feat49_Num0.buck2,Feat50_Num0.buck0,Feat51_Num0.buck0,Feat51_Num0.buck1,Feat51_Num0.buck2,Feat52_Num0.buck0,Feat52_Num0.buck1,Feat53_Num0.buck0,Feat54_Num0.buck0,Feat54_Num0.buck1,Feat54_Num0.buck2,Feat54_Num0.buck3,Feat54_Num0.buck4,Feat55_Num0.buck0,Feat55_Num0.buck1,Feat55_Num0.buck2,Feat55_Num0.buck3,Feat55_Num0.buck4,Feat56_Num0.buck0,Feat56_Num0.buck1,Feat56_Num0.buck2,Feat56_Num0.buck3,Feat56_Num0.buck4,target
1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
