Feat0_Num0.th0,Feat0_Num0.th1,Feat1_Num0.th0,Feat2_Num0.th0,Feat2_Num0.th1,Feat2_Num0.th2,Feat3_Num0.th0,Feat4_Num0.th0,Feat4_Num0.th1,Feat5_Num0.th0,Feat5_Num0.th1,Feat6_Num0.th0,Feat7_Num0.th0,Feat8_Num0.th0,Feat9_Num0.th0,Feat9_Num0.th1,Feat10_Num0.th0,Feat11_Num0.th0,Feat11_Num0.th1,Feat11_Num0.th2,Feat12_Num0.th0,Feat13_Num0.th0,Feat14_Num0.th0,Feat15_Num0.th0,Feat15_Num0.th1,Feat16_Num0.th0,Feat16_Num0.th1,Feat17_Num0.th0,Feat17_Num0.th1,Feat18_Num0.th0,Feat18_Num0.th1,Feat18_Num0.th2,Feat18_Num0.th3,Feat19_Num0.th0,Feat20_Num0.th0,Feat20_Num0.th1,Feat20_Num0.th2,Feat21_Num0.th0,Feat22_Num0.th0,Feat23_Num0.th0,Feat24_Num0.th0,Feat24_Num0.th1,Feat25_Num0.th0,Feat26_Num0.th0,Feat27_Num0.th0,Feat28_Num0.th0,Feat29_Num0.th0,Feat30_Num0.th0,Feat31_Num0.th0,Feat32_Num0.th0,Feat33_Num0.th0,Feat34_Num0.th0,Feat35_Num0.th0,Feat36_Num0.th0,Feat37_Num0.th0,Feat38_Num0.th0,Feat39_Num0.th0,Feat40_Num0.th0,Feat41_Num0.th0,Feat42_Num0.th0,Feat43_Num0.th0,Feat44_Num0.th0,Feat44_Num0.th1,Feat45_Num0.th0,Feat46_Num0.th0,Feat47_Num0.th0,Feat48_Num0.th0,Feat49_Num0.th0,Feat49_Num0.th1,Feat49_Num0.th2,Feat50_Num0.th0,Feat51_Num0.th0,Feat51_Num0.th1,Feat51_Num0.th2,Feat52_Num0.th0,Feat52_Num0.th1,Feat53_Num0.th0,Feat54_Num0.th0,Feat54_Num0.th1,Feat54_Num0.th2,Feat54_Num0.th3,Feat55_Num0.th0,Feat55_Num0.th1,Feat55_Num0.th2,Feat55_Num0.th3,Feat56_Num0.th0,Feat56_Num0.th1,Feat56_Num0.th2,Feat56_Num0.th3,target
0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0
