CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Cut Set Callback - Cuts Added,Cut Set Callback - Time,Cut Set Initial Cuts - Cuts,Cut Set Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Cut Set Callback-Enabled,Cut Set Callback-Solution Method,Cut Set Callback-Cut Type,Cut Set Initial Cuts-Enabled,Cut Set Initial Cuts-Solution Method,Solution Polishing - Solutions Found,Solution Polishing - Time,Solution Polishing-Enabled,Memory,Walltime,CPUtime
426.0,0.016782999,17,0.099761486,1647,0.082817793,0,0,0.92,0.0,0.0,0.8,0.134377956,0.046314139,0.7352,0.50856781,0.119201192,BendRegOCT,11/08/2025 9:46,balance-scale,,,4,4,0,20,3,2,0.4416,0.4416,0.0,3.390798807,608.0,1766314867,0.030868624,True,True,cbCutset,False,2,0.08,2,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.002444,11,6
426.0,0.016770363,18,0.128276825,1647,1.52538085,0,0,0.92,0.0,0.0,0.8,0.134335995,0.046314139,0.7352,1.314296961,0.1193513,BendRegOCT,11/08/2025 9:46,balance-scale,,,4,4,0,20,3,2,0.4416,0.4416,0.0,3.503325939,481.0,1766314867,0.030905632,True,True,cbCutset,False,2,0.08,1,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.04454,11,6
196.0,0.331792831,16,0.474129915,81,0.081056595,0,0,0.92,0.1,0.0,0.830974729,0.895072937,0.016132057,0.830974729,1.04035902,0.023362489,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.627581227,0.627581227,0.0,1.908637047,431.0,1694517393,0.0191898,True,True,cbCutset,False,2,0.08,183,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.1091,158,11
196.0,0.331931591,16,0.473984003,81,0.080898285,0,0,0.92,0.1,0.0,0.830974729,0.894958019,0.016132057,0.830974729,1.040229082,0.023351605,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.627581227,0.627581227,0.0,1.908529997,432.0,1694517393,0.019070984,True,True,cbCutset,False,2,0.08,182,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.110384,158,11
196.0,0.331628084,20,0.490812063,81,0.078933716,0,0,0.94,0.1,0.0,0.870373045,0.897201061,0.017567962,0.870373045,1.04049015,0.026089197,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.647581227,0.647581227,0.0,2.340437174,567.0,-21433717,0.021453088,True,True,cbCutset,False,2,0.06,186,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.118316,158,12
196.0,0.331800938,16,0.474360228,81,0.722345829,0,0,0.92,0.1,0.0,0.830974729,0.895105839,0.016132057,0.830974729,1.440309048,0.023362489,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.627581227,0.627581227,0.0,2.479223013,431.0,1694517393,0.019190232,True,True,cbCutset,False,2,0.08,181,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.120052,158,12
196.0,0.331877708,20,0.490235806,81,0.721997738,0,0,0.94,0.1,0.0,0.870373045,0.896036863,0.017567962,0.870373045,1.444340944,0.026089197,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.647581227,0.647581227,0.0,2.911706924,567.0,-21433717,0.021452976,True,True,cbCutset,False,2,0.06,184,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,Lazy,False,LP,,,,0.117808,158,12
196.0,0.331786394,20,0.491607189,81,0.721094847,0,0,0.94,0.1,0.0,0.870373045,0.895962954,0.017567962,0.870373045,1.444140911,0.026100081,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.647581227,0.647581227,0.0,2.917017937,567.0,-21433717,0.02153108,True,True,cbCutset,False,2,0.06,185,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.116032,158,12
196.0,0.328316212,20,0.474085808,81,0.101109982,0,0,0.92,0.1,0.0,0.830974729,0.914493084,0.017154626,0.830974729,1.041568041,0.024872896,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.627581227,0.627581227,0.0,2.897143126,849.0,-1711154810,0.020300176,True,True,cbCutset,False,3,0.08,243,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.123116,159,8
196.0,0.328295469,20,0.474289894,81,0.100645781,0,0,0.92,0.1,0.0,0.830974729,0.914597988,0.017154626,0.830974729,1.041646004,0.024859291,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.627581227,0.627581227,0.0,2.88679409,853.0,-1711154810,0.02019892,True,True,cbCutset,False,3,0.08,242,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.125128,160,8
426.0,0.330608368,19,0.466138124,1077,0.104811907,0,0,0.94,0.12,0.0,0.8496,0.925285101,0.041937682,0.7032,1.240616083,0.303443219,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.5016,0.5016,0.0,2.870732069,579.0,1684886309,0.032669288,True,True,cbCutset,False,2,0.06,7,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.123712,163,6
426.0,0.330191374,18,0.30775857,1647,0.109127283,0,0,0.92,0.1,0.0,0.8,0.922214985,0.046314139,0.7352,1.070436954,0.1193513,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.4416,0.4416,0.0,2.83710885,481.0,1766314867,0.030903232,True,True,cbCutset,False,2,0.08,3,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.105808,164,6
196.0,0.328410864,20,0.474163532,81,1.192532301,0,0,0.92,0.1,0.0,0.830974729,0.914567947,0.017154626,0.830974729,1.772118092,0.024859291,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.627581227,0.627581227,0.0,3.938557148,853.0,-1711154810,0.020198632,True,True,cbCutset,False,3,0.08,240,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,Lazy,False,LP,,,,0.123672,161,9
196.0,0.328256369,20,0.474124432,81,1.200048208,0,0,0.92,0.1,0.0,0.830974729,0.914489031,0.017154626,0.830974729,1.779356003,0.024872896,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.627581227,0.627581227,0.0,3.948911905,849.0,-1711154810,0.020300128,True,True,cbCutset,False,3,0.08,241,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.123076,161,9
426.0,0.330601692,17,0.418123484,1333,0.100154161,0,0,0.94,0.12,0.0,0.8496,0.925297976,0.041937682,0.7952,1.057371855,0.097564179,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.5016,0.5016,0.0,4.01887393,558.0,1684886309,0.031729296,True,True,cbCutset,False,2,0.06,6,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.131304,164,7
426.0,0.330546618,19,0.45987463,1077,1.334828138,0,0,0.94,0.12,0.0,0.8496,0.925284147,0.041937682,0.7032,2.091204166,0.303443219,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.5016,0.5016,0.0,4.06272316,579.0,1684886309,0.032670584,True,True,cbCutset,False,2,0.06,5,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.12464,164,7
196.0,0.33171773,22,0.497309685,81,0.078126192,0,0,0.96,0.1,0.0,0.910974729,0.897527933,0.01973142,0.910974729,1.040328979,0.024179673,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.667581227,0.667581227,0.0,4.110674858,1920.0,693051528,0.021701432,True,True,cbCutset,False,2,0.04,191,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.120836,160,13
