CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Cut Set Callback - Cuts Added,Cut Set Callback - Time,Cut Set Initial Cuts - Cuts,Cut Set Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Cut Set Callback-Enabled,Cut Set Callback-Solution Method,Cut Set Callback-Cut Type,Cut Set Initial Cuts-Enabled,Cut Set Initial Cuts-Solution Method,NodeLimit,Memory,Walltime,CPUtime
202.0,0.001743555,5,0.01330018,0,0,567,0.572439432,0.9789747,0.0,0.0,0.978974729,0.09127593,0.028992581,0.903162455,0.456795931,0.336697045,BendRegOCT,8/08/2025 11:44,breast-cancer,,,9,9,0,38,2,2,0.724462094,0.724462094,0.0,0.590755939,51.0,2085491805,0.019696504,True,True,icCutset,False,1,0.006,162,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,LP,,0.100616,102,4
369.0,0.002379179,6,0.01904583,0,0,1436,2.080024481,0.4608,0.29,0.19,0.4608,0.499557972,0.243541501,0.4608,0.613119125,0.378756494,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.3904,0.3904,0.0,0.720112085,39.0,854815526,0.016572032,True,True,icCutset,False,1,0.1,4,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,LP,,0.115296,111,6
202.0,0.003226757,8,0.748958349,0,0,554,1.891988754,0.9789747,0.0,0.0,0.978974729,0.944184065,0.03033874,0.937458484,1.201684952,0.378239423,BendRegOCT,8/08/2025 11:44,breast-cancer,,,9,9,0,38,2,2,0.724462094,0.724462094,0.0,1.348253012,52.0,-1964705023,0.025667752,True,True,icCutset,False,1,0.006,163,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.1129,107,5
1210.0,0.002969265,1,0.001399994,0,0,1728,0.102519035,,,,,,,,,,BendRegOCT,8/08/2025 11:44,car_evaluation,,,6,6,0,19,4,2,0.400231481,0.400231481,0.0,0.04219389,1.0,945392106,0.087708792,True,True,icCutset,False,1,0.3,289,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.11796,27,3
1210.0,0.002954006,1,0.001300097,0,0,4061,3.482621431,,,,,,,,,,BendRegOCT,8/08/2025 11:44,car_evaluation,,,6,6,0,19,4,2,0.500231481,0.500231481,0.0,0.13082099,1.0,-1857929419,0.06919848,True,True,icCutset,False,1,0.2,290,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,LP,,0.129264,27,6
369.0,0.001614809,5,0.680647612,0,0,1875,0.982694626,0.5008,0.12,0.22,0.5008,0.940207958,0.30363519,0.499819355,1.104263067,0.551385753,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.4304,0.4304,0.0,1.215053082,39.0,967814174,0.02772976,True,True,icCutset,False,1,0.08,7,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.12062,123,4
288.0,0.006032944,1,0.000561237,0,0,5137,1.203337193,,,,,,,,,,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.2608,0.2608,0.0,1.439761162,1.0,507502,0.071243232,True,True,icCutset,False,3,0.2,75,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.139356,116,6
369.0,0.001595974,7,0.019019365,0,0,1376,1.579736471,0.6592,0.7,0.15,0.6592,1.355916023,0.198399445,0.65846,1.520133972,0.392346077,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.5888,0.5888,0.0,1.620974064,39.0,-2145875739,0.015557024,True,True,icCutset,False,1,0.0008,26,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,LP,,0.114572,117,5
369.0,0.002813578,4,0.678925037,0,0,1817,0.990381956,0.4608,0.14,0.27,0.4608,0.94469595,0.353958126,0.459416216,1.188233852,0.73528643,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.3904,0.3904,0.0,1.27222085,39.0,652849267,0.027563472,True,True,icCutset,False,1,0.1,5,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.120636,123,4
426.0,0.00351119,19,0.106090069,0,0,3013,0.382998943,0.8368,0.63,1.34,0.8368,0.984025002,1.611755083,0.820435959,2.949622154,5.490881787,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.6576,0.6576,0.0,10.34584618,1036.0,-401052330,0.054824192,True,True,icCutset,False,2,0.008,53,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.145336,120,14
288.0,0.008157969,1,0.002350092,0,0,2553,0.383421421,,,,,,,,,,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.1608,0.1608,0.0,0.294828892,1.0,1740615005,0.054628256,True,True,icCutset,False,3,0.3,73,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.122248,121,4
369.0,0.001693726,4,0.009877443,0,0,1819,0.105858803,0.5808,0.15,0.28,0.5808,0.193011045,0.356549715,0.578986667,0.369262934,0.633055004,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.5104,0.5104,0.0,0.467055082,39.0,239827611,0.027570384,True,True,icCutset,False,1,0.04,11,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.12084,125,5
426.0,0.003587246,24,0.121777534,0,0,3861,0.455218315,0.8428,0.85,1.81,0.8428,1.025802135,2.150752789,0.809853011,4.837748051,10.14407762,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.6636,0.6636,0.0,11.17846894,793.0,193203532,0.059681728,True,True,icCutset,False,2,0.006,55,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.158456,130,15
202.0,0.001771927,8,0.017614365,0,0,558,0.749059677,0.9901747,0.0,0.0,0.990174729,0.021560907,0.024420097,0.891619362,0.28469491,0.368157169,BendRegOCT,8/08/2025 11:45,breast-cancer,,,9,9,0,38,2,2,0.735662094,0.735662094,0.0,0.365750074,52.0,1860764021,0.010054376,True,True,icCutset,False,1,0.0004,174,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,LP,,0.114656,126,5
196.0,0.008718729,23,0.748573065,0,0,554,0.407747984,0.9109747,0.0,0.0,0.910974729,0.871762037,0.079535613,0.883893741,1.197715044,0.475747959,BendRegOCT,8/08/2025 11:44,breast-cancer,,,9,9,0,38,2,2,0.667581227,0.667581227,0.0,5.560197115,2219.0,-514226492,0.027611352,True,True,icCutset,False,2,0.04,191,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.127644,98,8
288.0,0.006029129,1,0.000594139,0,0,8034,14.70240617,,,,,,,,,,BendRegOCT,8/08/2025 11:45,balance-scale,,,4,4,0,20,3,2,0.2608,0.2608,0.0,2.189707994,1.0,-1113180149,0.090435776,True,True,icCutset,False,3,0.2,74,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,LP,,0.149972,139,21
288.0,0.006207705,1,0.000607491,0,0,5243,8.201375246,,,,,,,,,,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.1608,0.1608,0.0,0.547837019,1.0,-250579779,0.063582432,True,True,icCutset,False,3,0.3,72,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,LP,,0.13812,139,13
215.0,0.00679636,21,0.078893661,0,0,862,0.197359324,0.98,0.0,0.01,0.98,0.175054073,0.087753064,0.975947134,0.562197208,0.616537872,BendRegOCT,8/08/2025 11:45,breast-cancer,,,9,9,0,38,2,2,0.752173285,0.752173285,0.0,10.02305603,5811.0,1530264017,0.046444984,True,True,icCutset,False,2,0.008,197,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.132368,117,13
288.0,0.001731157,1,0.000547886,0,0,1436,1.17515707,,,,,,,,,,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.2608,0.2608,0.0,0.073950052,1.0,-973405449,0.01657208,True,True,icCutset,False,1,0.2,2,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,LP,,0.11022,171,6
369.0,0.001641512,7,0.01533556,0,0,1376,1.312766552,0.6588,0.09,0.15,0.6588,0.122506142,0.198399445,0.65806,0.254081964,0.392457659,BendRegOCT,8/08/2025 11:44,balance-scale,,,4,4,0,20,3,2,0.5884,0.5884,0.0,0.337903976,39.0,1414111580,0.015557024,True,True,icCutset,False,1,0.001,24,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,LP,,0.114472,150,5
202.0,0.002571821,7,0.080482483,0,0,554,0.304603815,0.9905747,0.0,0.0,0.990574729,0.283267975,0.030217699,0.89313661,0.660513878,0.561756134,BendRegOCT,8/08/2025 11:44,breast-cancer,,,9,9,0,38,2,2,0.736062094,0.736062094,0.0,0.734997988,55.0,803437633,0.01435068,True,True,icCutset,False,1,0.0002,177,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.116276,120,6
288.0,0.010993958,1,0.000616312,0,0,5922,18.73469567,,,,,,,,,,BendRegOCT,8/08/2025 11:45,balance-scale,,,4,4,0,20,3,2,0.1608,0.1608,0.0,0.915834904,1.0,-1486263718,0.057357232,True,True,icCutset,False,4,0.3,108,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,LP,,0.145904,168,23
1210.0,0.00298357,1,0.001309395,0,0,4492,0.458826303,0.8588981,0.24,0.52,0.858898148,0.415434122,0.833344813,0.85754784,0.637915134,1.258010399,BendRegOCT,8/08/2025 11:45,car_evaluation,,,6,6,0,19,4,2,0.696231481,0.696231481,0.0,1.424190044,37.0,-1465304283,0.095191,True,True,icCutset,False,1,0.004,309,9478179[].aqua,3600,1,0,0,0.05,-1,-1,0,True,False,False,LP,Lazy,True,Dual Inspection,,0.146108,26,4
