Accuracy,Worst Class Accuracy,Average Leaf Depth,Max Leaf Depth,Leaves Used,Benders Cuts - Cuts Added,Benders Cuts - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,EQP Initial Cuts - Auxiliary Vars,EQP Initial Cuts - Cuts,EQP Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,Presolve,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Benders Cuts-Relax w,Benders Cuts-EC Level,Solution Polishing-Enabled,Solution Polishing-Check Validity,Solution Polishing-Use Cache,Path Bound Cutting Planes-Enabled,Path Bound Cutting Planes-Endpoint Only,Path Bound Cutting Planes-Cut Type,EQP Initial Cuts-Enabled,EQP Initial Cuts-Features Removed,EQP Initial Cuts-H Variant,EQP Initial Cuts-Disaggregate Alpha,EQP Initial Cuts-Group Selection,EQP Initial Cuts-Ignore Dataset Check,EQP Initial Cuts-Filter Dominated,EQP Initial Cuts-Beta Dependence,Memory,Walltime,CPUtime
68.95306859205776,67.90123456790124,1.6666666666666667,2,3,0,0,2,0.0074245929718017,0,0,0,0.8402904,0.0,0.01,0.8358221688995507,0.0563499927520751,0.0149454827083708,0.8278831003811914,0.0949130058288574,0.0519520435276678,BendWorstOCT,2026-07-10 21:11:00,breast-cancer,,,9,9,0,38,2,2,0.4390123456790131,0.4390123456790131,0.0,91.25905394554138,7772.0,-232606241,0.053649544,False,False,SolutionPolishing,False,3,0.08,1,23612090[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,True,True,False,False,False,Lazy,False,0,Chain,False,False,False,False,False,0.175696,127,94
68.95306859205776,67.90123456790124,1.6666666666666667,2,3,0,0,2,0.0048952102661132,0,0,0,0.8402904,0.0,0.01,0.8358221688995507,0.0563349723815918,0.0149454827083708,0.8278831003811914,0.0921940803527832,0.0519520435276678,BendWorstOCT,2026-07-10 21:11:00,breast-cancer,,,9,9,0,38,2,2,0.4390123456790131,0.4390123456790131,0.0,91.28477907180786,7772.0,-232606241,0.053647152,False,False,SolutionPolishing,False,3,0.08,0,23612090[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,True,True,True,False,False,Lazy,False,0,Chain,False,False,False,False,False,0.174404,127,94
68.95306859205776,67.90123456790124,1.6666666666666667,2,3,0,0,2,0.1117722988128662,0,0,0,0.8402904,0.0,0.01,0.8358221688995507,0.0562431812286376,0.0149454827083708,0.8278831003811914,0.0987410545349121,0.0519520435276678,BendWorstOCT,2026-07-10 21:11:00,breast-cancer,,,9,9,0,38,2,2,0.4390123456790131,0.4390123456790131,0.0,91.26017713546752,7772.0,-232606241,0.053650584,False,False,SolutionPolishing,False,3,0.08,3,23612090[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,True,False,False,False,False,Lazy,False,0,Chain,False,False,False,False,False,0.178564,127,94
68.95306859205776,67.90123456790124,1.6666666666666667,2,3,0,0,2,0.0586307048797607,0,0,0,0.8402904,0.0,0.01,0.8358221688995507,0.0563349723815918,0.0149454827083708,0.8278831003811914,0.093437910079956,0.0519520435276678,BendWorstOCT,2026-07-10 21:11:00,breast-cancer,,,9,9,0,38,2,2,0.4390123456790131,0.4390123456790131,0.0,91.09405088424684,7772.0,-232606241,0.053647264,False,False,SolutionPolishing,False,3,0.08,2,23612090[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,True,False,True,False,False,Lazy,False,0,Chain,False,False,False,False,False,0.178792,127,94
68.95306859205776,67.90123456790124,1.6666666666666667,2,3,0,0,2,0.047743797302246,0,0,0,0.8784775,0.0,0.0,0.8775437519189411,0.0527329444885253,0.0164304001294188,0.8674457384259202,0.1288919448852539,0.0577263214381086,BendWorstOCT,2026-07-10 21:11:00,breast-cancer,,,9,9,0,38,2,2,0.4990123461287171,0.4990123461287171,0.0,171.04555106163025,20601.0,149335052,0.040912096,False,False,SolutionPolishing,False,3,0.06,5,23612090[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,True,True,False,False,False,Lazy,False,0,Chain,False,False,False,False,False,0.181892,207,174
68.95306859205776,67.90123456790124,1.6666666666666667,2,3,0,0,2,0.039222240447998,0,0,0,0.8784775,0.0,0.0,0.8775437519189411,0.053110122680664,0.0164304001294188,0.8674457384259202,0.128849983215332,0.0577263214381086,BendWorstOCT,2026-07-10 21:11:00,breast-cancer,,,9,9,0,38,2,2,0.4990123461287171,0.4990123461287171,0.0,171.3577470779419,20601.0,149335052,0.040912208,False,False,SolutionPolishing,False,3,0.06,4,23612090[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,True,True,True,False,False,Lazy,False,0,Chain,False,False,False,False,False,0.180364,207,174
68.95306859205776,67.90123456790124,1.6666666666666667,2,3,0,0,2,0.061868667602539,0,0,0,0.8784775,0.0,0.0,0.8775437519189411,0.0583059787750244,0.0164304001294188,0.8682175652759123,0.0846660137176513,0.0417319981317907,BendWorstOCT,2026-07-10 21:11:00,breast-cancer,,,9,9,0,38,2,2,0.4990123458289144,0.4990123458289144,0.0,237.5028779506684,24571.0,149335052,0.03965636,False,False,SolutionPolishing,False,3,0.06,6,23612090[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,True,False,True,False,False,Lazy,False,0,Chain,False,False,False,False,False,0.18254,273,240
68.95306859205776,67.90123456790124,1.6666666666666667,2,3,0,0,2,0.1427001953125,0,0,0,0.8784775,0.01,0.0,0.8775437519189411,0.1038439273834228,0.0164304001294188,0.8682175652759123,0.1509809494018554,0.0417319981317907,BendWorstOCT,2026-07-10 21:11:47,breast-cancer,,,9,9,0,38,2,2,0.4990123458289144,0.4990123458289144,0.0,233.25714993476868,24571.0,149335052,0.03965676,False,False,SolutionPolishing,False,3,0.06,7,23612090[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,True,False,False,False,False,Lazy,False,0,Chain,False,False,False,False,False,0.1756,316,237
35.2,30.55555555555556,1.6666666666666667,2,3,0,0,2,0.3993630409240722,0,0,0,0.76,0.02,0.03,0.759999999999998,0.188209056854248,0.0833985474905415,0.634467198850512,0.4521741867065429,0.4354770561291121,BendWorstOCT,2026-07-10 21:13:16,balance-scale,,,4,4,0,20,3,2,0.0655562500000008,0.0655562500000008,0.0,244.42829012870789,35702.0,-131713360,0.049851912,False,False,SolutionPolishing,False,3,0.08,122,23612090[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,True,False,True,False,False,Lazy,False,0,Chain,False,False,False,False,False,0.179332,253,248
68.95306859205776,67.90123456790124,1.6666666666666667,2,3,0,0,2,0.0050761699676513,0,0,0,0.8375806,0.0,0.01,0.8373320417906291,0.0776469707489013,0.0238583362727354,0.8282463896256967,0.1112868785858154,0.055300698551413,BendWorstOCT,2026-07-10 21:11:47,breast-cancer,,,9,9,0,38,2,2,0.4390123456790131,0.4390123456790131,0.0,336.5895590782165,19717.0,-156153317,0.066325504,False,False,SolutionPolishing,False,4,0.08,60,23612090[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,True,True,True,False,False,Lazy,False,0,Chain,False,False,False,False,False,0.18908,344,338
