,CART Obj,CART Runtime,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,PBS Memory Usage,PBS Walltime,PBS CPUtime
0,288,0.070476294,407,,,,,,,,,FlowRegOCT,21/07/2025 15:37,balance-scale,,,4,4,0,20,3,2,0.1608,0.1608,0,1.112101793,1,-1970766213,0.027030632,TRUE,TRUE,Baseline,FALSE,1,0.3,0,3600,1,0,0,0.05,-1,-1,0,0.094184,35,4
1,202,0.003566742,0.9709747,0.31,0.01,0.969169675,0.651322842,0.215249556,0.911407942,1.537741899,1.5124695,FlowRegOCT,21/07/2025 15:37,breast-cancer,,,9,9,0,38,2,2,0.716462094,0.716462094,0,1.786523819,43,1312945676,0.034925736,TRUE,TRUE,Baseline,FALSE,1,0.01,79,3600,1,0,0,0.05,-1,-1,0,0.116668,6,4
2,196,0.003204107,0.8709747,0.32,0.03,0.870974729,0.748809099,0.290761794,0.800788805,1.486355066,1.514706405,FlowRegOCT,21/07/2025 15:37,breast-cancer,,,9,9,0,38,2,2,0.647581227,0.647581227,0,1.936178207,134,1567992127,0.028222392,TRUE,TRUE,Baseline,FALSE,1,0.06,76,3600,1,0,0,0.05,-1,-1,0,0.118252,6,4
3,202,0.003535509,0.9749747,0.31,0.01,0.973169675,0.651360035,0.215249556,0.915407942,1.535126925,1.5124695,FlowRegOCT,21/07/2025 15:37,breast-cancer,,,9,9,0,38,2,2,0.720462094,0.720462094,0,1.786563873,43,1532260877,0.034921776,TRUE,TRUE,Baseline,FALSE,1,0.008,80,3600,1,0,0,0.05,-1,-1,0,0.1164,6,4
4,202,0.003498554,0.9789747,0.31,0.01,0.977169675,0.651365042,0.215193784,0.919407942,1.53498888,1.512413728,FlowRegOCT,21/07/2025 15:37,breast-cancer,,,9,9,0,38,2,2,0.724462094,0.724462094,0,1.78656888,43,-1080570641,0.034920712,TRUE,TRUE,Baseline,FALSE,1,0.006,81,3600,1,0,0,0.05,-1,-1,0,0.120808,6,4
5,196,0.003166437,0.9109747,0.31,0.02,0.910974729,0.748209,0.284164303,0.883313441,1.416498899,1.019572751,FlowRegOCT,21/07/2025 15:37,breast-cancer,,,9,9,0,38,2,2,0.667581227,0.667581227,0,1.883428097,162,-613910696,0.028762896,TRUE,TRUE,Baseline,FALSE,1,0.04,77,3600,1,0,0,0.05,-1,-1,0,0.119124,6,4
6,202,0.003402233,0.9829747,0.31,0.01,0.981169675,0.650551081,0.215193784,0.923407942,1.536316872,1.512413728,FlowRegOCT,21/07/2025 15:37,breast-cancer,,,9,9,0,38,2,2,0.728462094,0.728462094,0,1.785754919,43,1329383838,0.034921704,TRUE,TRUE,Baseline,FALSE,1,0.004,82,3600,1,0,0,0.05,-1,-1,0,0.117644,6,4
7,202,0.003514528,0.9509747,0.31,0.01,0.949169675,0.649935007,0.215346175,0.891407942,1.538213015,1.512566119,FlowRegOCT,21/07/2025 15:37,breast-cancer,,,9,9,0,38,2,2,0.696462094,0.696462094,0,1.785151005,43,-351262875,0.034921128,TRUE,TRUE,Baseline,FALSE,1,0.02,78,3600,1,0,0,0.05,-1,-1,0,0.124112,6,4
8,196,0.00322175,0.8309747,0.32,0.03,0.830974729,0.752347946,0.366847481,0.782755642,1.389698029,1.504840767,FlowRegOCT,21/07/2025 15:37,breast-cancer,,,9,9,0,38,2,2,0.627581227,0.627581227,0,2.151695967,265,355811365,0.030003232,TRUE,TRUE,Baseline,FALSE,1,0.08,75,3600,1,0,0,0.05,-1,-1,0,0.120668,6,4
9,369,0.069350719,0.6568,0.56,0.53,0.6568,1.217218876,0.987684183,0.6456,2.377070904,2.853663098,FlowRegOCT,21/07/2025 15:37,balance-scale,,,4,4,0,20,3,2,0.5864,0.5864,0,2.586318016,21,947286914,0.043384632,TRUE,TRUE,Baseline,FALSE,1,0.002,11,3600,1,0,0,0.05,-1,-1,0,0.133944,36,6
10,369,0.069336414,0.6588,0.57,0.49,0.6588,1.225090027,0.954211523,0.6396,2.579278946,3.483497525,FlowRegOCT,21/07/2025 15:37,balance-scale,,,4,4,0,20,3,2,0.5884,0.5884,0,2.726438046,15,290428280,0.043384568,TRUE,TRUE,Baseline,FALSE,1,0.001,12,3600,1,0,0,0.05,-1,-1,0,0.134376,36,5
11,369,0.069338322,0.6592,0.57,0.49,0.6592,1.225101948,0.954211622,0.64,2.579022884,3.483497623,FlowRegOCT,21/07/2025 15:37,balance-scale,,,4,4,0,20,3,2,0.5888,0.5888,0,2.726427078,15,-1274071315,0.043384552,TRUE,TRUE,Baseline,FALSE,1,0.0008,13,3600,1,0,0,0.05,-1,-1,0,0.133972,36,5
12,196,0.03127408,578,,,,,,,,,FlowRegOCT,21/07/2025 15:37,breast-cancer,,,9,9,0,38,2,2,0.407581227,0.407581227,0,0.490593195,1,-139576807,0.092699008,TRUE,TRUE,Baseline,FALSE,4,0.3,126,3600,1,0,0,0.05,-1,-1,0,0.099664,4,4
